team,split_value,matches_played,possession_pct,touches_against,touches_for,touches_opp_box_against,touches_opp_box_for,passes_attempted_against,passes_attempted_for,passes_completed_against,passes_completed_for,open_play_passes_against,open_play_passes_for,passes_forward_against,passes_forward_for,passes_backward_against,passes_backward_for,passes_sideways_against,passes_sideways_for,passes_opp_half_against,passes_opp_half_for,passes_own_half_against,passes_own_half_for,crosses_attempted_against,crosses_attempted_for,crosses_completed_against,crosses_completed_for,long_passes_attempted_against,long_passes_attempted_for,long_passes_completed_against,long_passes_completed_for,through_balls_against,through_balls_for,corners_against,corners_for,chances_created_against,chances_created_for,assists_against,assists_for,shots_against,shots_for,shots_on_target_against,shots_on_target_for,shots_off_target_against,shots_off_target_for,shots_blocked_against,shots_blocked_for,shots_in_box_against,shots_in_box_for,shots_outside_box_against,shots_outside_box_for,shots_on_target_in_box_against,shots_on_target_in_box_for,shots_on_target_outside_box_against,shots_on_target_outside_box_for,goals_against,goals_for,goals_in_box_against,goals_in_box_for,goals_outside_box_against,goals_outside_box_for,goals_from_shots_against,goals_from_shots_for,own_goals_against,own_goals_for,own_goals_in_box_against,own_goals_in_box_for,own_goals_outside_box_against,own_goals_outside_box_for,take_ons_against,take_ons_for,take_ons_won_against,take_ons_won_for,aerials_against,aerials_for,aerials_won_against,aerials_won_for,ground_duels_against,ground_duels_for,ground_duels_won_against,ground_duels_won_for,duels_contested_against,duels_contested_for,duels_won_against,duels_won_for,tackles_against,tackles_for,interceptions_against,interceptions_for,clearances_against,clearances_for,ball_recoveries_against,ball_recoveries_for,blocked_passes_against,blocked_passes_for,fouls_committed_against,fouls_committed_for,fouls_won_against,fouls_won_for,possession_lost_against,possession_lost_for,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for,pass_accuracy_pct_against,cross_accuracy_pct_against,long_pass_accuracy_pct_against,shooting_accuracy_pct_against,conversion_pct_against,take_on_success_pct_against,aerial_success_pct_against,ground_duel_success_pct_against,duel_success_pct_against,rank_possession_pct,rank_touches_against,rank_touches_for,rank_touches_opp_box_against,rank_touches_opp_box_for,rank_passes_attempted_against,rank_passes_attempted_for,rank_passes_completed_against,rank_passes_completed_for,rank_open_play_passes_against,rank_open_play_passes_for,rank_passes_forward_against,rank_passes_forward_for,rank_passes_backward_against,rank_passes_backward_for,rank_passes_sideways_against,rank_passes_sideways_for,rank_passes_opp_half_against,rank_passes_opp_half_for,rank_passes_own_half_against,rank_passes_own_half_for,rank_crosses_attempted_against,rank_crosses_attempted_for,rank_crosses_completed_against,rank_crosses_completed_for,rank_long_passes_attempted_against,rank_long_passes_attempted_for,rank_long_passes_completed_against,rank_long_passes_completed_for,rank_through_balls_against,rank_through_balls_for,rank_corners_against,rank_corners_for,rank_chances_created_against,rank_chances_created_for,rank_assists_against,rank_assists_for,rank_shots_against,rank_shots_for,rank_shots_on_target_against,rank_shots_on_target_for,rank_shots_off_target_against,rank_shots_off_target_for,rank_shots_blocked_against,rank_shots_blocked_for,rank_shots_in_box_against,rank_shots_in_box_for,rank_shots_outside_box_against,rank_shots_outside_box_for,rank_shots_on_target_in_box_against,rank_shots_on_target_in_box_for,rank_shots_on_target_outside_box_against,rank_shots_on_target_outside_box_for,rank_goals_against,rank_goals_for,rank_goals_in_box_against,rank_goals_in_box_for,rank_goals_outside_box_against,rank_goals_outside_box_for,rank_goals_from_shots_against,rank_goals_from_shots_for,rank_own_goals_against,rank_own_goals_for,rank_own_goals_in_box_against,rank_own_goals_in_box_for,rank_own_goals_outside_box_against,rank_own_goals_outside_box_for,rank_take_ons_against,rank_take_ons_for,rank_take_ons_won_against,rank_take_ons_won_for,rank_aerials_against,rank_aerials_for,rank_aerials_won_against,rank_aerials_won_for,rank_ground_duels_against,rank_ground_duels_for,rank_ground_duels_won_against,rank_ground_duels_won_for,rank_duels_contested_against,rank_duels_contested_for,rank_duels_won_against,rank_duels_won_for,rank_tackles_against,rank_tackles_for,rank_interceptions_against,rank_interceptions_for,rank_clearances_against,rank_clearances_for,rank_ball_recoveries_against,rank_ball_recoveries_for,rank_blocked_passes_against,rank_blocked_passes_for,rank_fouls_committed_against,rank_fouls_committed_for,rank_fouls_won_against,rank_fouls_won_for,rank_possession_lost_against,rank_possession_lost_for,rank_pass_accuracy_pct_for,rank_cross_accuracy_pct_for,rank_long_pass_accuracy_pct_for,rank_shooting_accuracy_pct_for,rank_conversion_pct_for,rank_take_on_success_pct_for,rank_aerial_success_pct_for,rank_ground_duel_success_pct_for,rank_duel_success_pct_for,rank_pass_accuracy_pct_against,rank_cross_accuracy_pct_against,rank_long_pass_accuracy_pct_against,rank_shooting_accuracy_pct_against,rank_conversion_pct_against,rank_take_on_success_pct_against,rank_aerial_success_pct_against,rank_ground_duel_success_pct_against,rank_duel_success_pct_against
Arsenal,0-15,5,59.78,405,602,14,31,295,483,212,412,253,444,138,190,72,109,85,184,94,176,118,236,3,6,0,1,67,45,35,19,1,1,2,4,4,11,2,6,9,14,2,6,5,4,2,4,3,12,6,2,1,6,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,11,9,4,2,33,33,19,14,27,28,7,10,60,61,26,24,8,11,7,9,18,20,34,30,6,7,13,9,9,13,109,91,85.3,16.67,42.22,42.86,7.14,22.22,42.42,35.71,39.34,71.86,0.0,52.24,22.22,11.11,36.36,57.58,25.93,43.33,2.0,20.0,5.0,14.0,1.0,20.0,5.0,20.0,3.0,20.0,4.0,18.0,6.0,20.0,9.0,19.0,3.0,19.0,3.0,20.0,4.0,20.0,17.0,18.0,12.0,5.0,18.0,1.0,19.0,8.0,9.0,16.0,6.0,15.0,1.0,17.0,5.0,13.0,2.0,16.0,2.0,5.0,8.0,13.0,3.0,19.0,1.0,1.0,16.0,18.0,1.0,2.0,9.0,4.0,4.0,12.0,4.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,16.0,17.0,11.0,17.0,5.0,5.0,1.0,10.0,20.0,19.0,19.0,13.0,14.0,13.0,10.0,11.0,18.0,15.0,10.0,5.0,12.0,8.0,11.0,15.0,12.0,7.0,1.0,11.0,11.0,1.0,10.0,18.0,4.0,13.0,13.0,7.0,11.0,18.0,16.0,7.0,10.0,20.0,18.0,2.0,16.0,6.0,8.0,5.0,17.0,7.0
Aston Villa,0-15,5,53.77,521,606,17,18,384,484,308,397,356,436,166,185,78,126,140,173,127,165,181,232,11,9,1,2,51,56,23,26,1,2,3,5,4,8,1,5,10,14,4,5,5,6,1,3,6,9,4,5,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,12,14,5,6,20,20,12,8,43,42,13,13,63,62,25,21,16,14,11,4,21,18,37,32,9,8,10,8,8,10,102,115,82.02,22.22,46.43,35.71,0.0,42.86,40.0,30.95,33.87,80.21,9.09,45.1,40.0,0.0,41.67,60.0,30.23,39.68,5.0,15.0,4.0,8.0,8.0,17.0,3.0,15.0,5.0,15.0,6.0,16.0,8.0,19.0,2.0,11.0,5.0,10.0,5.0,16.0,6.0,3.0,7.0,13.0,4.0,17.0,15.0,16.0,11.0,8.0,4.0,8.0,3.0,15.0,5.0,19.0,9.0,9.0,2.0,5.0,5.0,5.0,1.0,18.0,8.0,11.0,3.0,6.0,2.0,9.0,4.0,1.0,4.0,4.0,14.0,4.0,13.0,3.0,3.0,13.0,13.0,2.0,1.0,2.0,1.0,1.0,1.0,13.0,9.0,3.0,4.0,18.0,18.0,13.0,18.0,5.0,5.0,6.0,8.0,11.0,11.0,12.0,17.0,5.0,7.0,4.0,17.0,6.0,12.0,8.0,11.0,2.0,4.0,7.0,13.0,13.0,7.0,16.0,7.0,8.0,8.0,8.0,8.0,13.0,4.0,19.0,13.0,18.0,11.0,17.0,11.0,6.0,13.0,6.0,2.0,12.0,9.0
Bournemouth,0-15,5,47.76,584,534,15,16,456,413,362,311,413,369,192,195,109,108,155,110,110,137,252,174,7,6,3,2,61,70,26,32,2,1,3,4,8,6,7,5,10,10,2,6,5,3,3,1,8,8,2,2,2,5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,10,4,5,2,38,38,17,21,28,27,12,10,66,65,29,31,8,11,11,14,16,21,44,48,9,8,10,8,8,10,131,125,75.3,33.33,45.71,60.0,10.0,50.0,55.26,37.04,47.69,79.39,42.86,42.62,20.0,0.0,50.0,44.74,42.86,43.94,13.0,8.0,12.0,13.0,10.0,9.0,12.0,10.0,13.0,10.0,12.0,7.0,5.0,10.0,12.0,6.0,16.0,13.0,10.0,3.0,16.0,13.0,17.0,2.0,4.0,10.0,4.0,10.0,2.0,5.0,9.0,8.0,6.0,6.0,12.0,3.0,9.0,9.0,8.0,16.0,2.0,5.0,12.0,8.0,19.0,5.0,5.0,15.0,16.0,9.0,3.0,13.0,4.0,14.0,4.0,12.0,4.0,3.0,3.0,13.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,18.0,20.0,3.0,17.0,1.0,1.0,3.0,1.0,19.0,20.0,11.0,13.0,8.0,7.0,3.0,4.0,18.0,15.0,4.0,2.0,16.0,7.0,2.0,1.0,2.0,4.0,7.0,13.0,13.0,7.0,3.0,4.0,17.0,3.0,10.0,1.0,5.0,2.0,6.0,4.0,3.0,13.0,1.0,16.0,18.0,13.0,2.0,15.0,2.0,6.0
Brentford,0-15,5,49.44,539,527,16,24,400,397,305,292,363,359,184,201,90,69,126,127,115,124,190,168,10,16,2,5,62,62,24,30,0,1,2,6,5,11,3,8,7,16,1,4,3,5,3,7,5,12,2,4,1,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16,18,4,7,34,34,16,18,42,40,11,18,76,74,27,36,12,14,11,15,31,14,42,44,8,4,8,11,11,8,127,132,73.55,31.25,48.39,25.0,6.25,38.89,52.94,45.0,48.65,76.25,20.0,38.71,14.29,0.0,25.0,47.06,26.19,35.53,9.0,12.0,14.0,12.0,4.0,14.0,14.0,16.0,17.0,14.0,13.0,12.0,3.0,16.0,19.0,15.0,13.0,12.0,12.0,15.0,17.0,6.0,1.0,5.0,1.0,9.0,8.0,14.0,7.0,18.0,9.0,16.0,2.0,13.0,1.0,14.0,1.0,17.0,1.0,19.0,7.0,10.0,3.0,8.0,1.0,14.0,1.0,15.0,6.0,18.0,4.0,13.0,9.0,14.0,4.0,12.0,4.0,3.0,3.0,13.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,11.0,2.0,3.0,3.0,5.0,5.0,6.0,7.0,13.0,1.0,2.0,4.0,7.0,1.0,10.0,7.0,4.0,1.0,1.0,17.0,4.0,3.0,5.0,16.0,15.0,5.0,5.0,15.0,4.0,3.0,19.0,5.0,6.0,15.0,12.0,7.0,7.0,1.0,2.0,17.0,10.0,17.0,19.0,13.0,13.0,14.0,16.0,15.0
Brighton,0-15,5,56.85,444,585,17,13,333,477,249,398,295,441,138,197,87,111,108,169,90,167,159,231,5,11,0,0,57,57,20,32,0,2,4,4,4,2,4,1,10,8,5,1,4,5,1,2,7,5,3,3,4,1,1,0,3,1,3,1,0,0,3,0,1,0,1,0,0,0,11,12,5,5,25,25,13,12,34,31,13,8,59,56,26,20,14,5,4,9,18,15,22,26,8,6,10,12,12,10,106,105,83.44,0.0,56.14,12.5,0.0,41.67,48.0,25.81,35.71,74.77,0.0,35.09,50.0,30.0,45.45,52.0,38.24,44.07,3.0,18.0,6.0,8.0,13.0,18.0,6.0,18.0,4.0,18.0,5.0,18.0,4.0,17.0,8.0,18.0,6.0,20.0,4.0,18.0,7.0,19.0,3.0,18.0,18.0,13.0,13.0,18.0,2.0,18.0,4.0,7.0,6.0,15.0,19.0,13.0,19.0,9.0,16.0,4.0,17.0,8.0,3.0,18.0,13.0,9.0,14.0,9.0,9.0,4.0,16.0,2.0,9.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,13.0,1.0,2.0,1.0,2.0,1.0,1.0,16.0,12.0,3.0,7.0,12.0,12.0,12.0,12.0,11.0,14.0,6.0,17.0,16.0,19.0,10.0,19.0,9.0,20.0,16.0,5.0,12.0,16.0,19.0,20.0,5.0,10.0,7.0,4.0,4.0,7.0,12.0,13.0,6.0,18.0,1.0,18.0,13.0,5.0,10.0,17.0,17.0,18.0,18.0,19.0,3.0,1.0,4.0,11.0,6.0,5.0
Chelsea,0-15,5,50.49,509,519,17,28,403,393,317,319,366,356,179,163,92,85,132,145,109,155,208,164,9,8,1,2,64,59,35,24,1,1,6,4,4,9,3,7,7,12,4,7,2,1,1,4,6,9,1,3,4,6,0,1,0,5,0,4,0,1,0,5,0,0,0,0,0,0,14,14,5,4,29,29,10,19,32,31,13,8,61,60,23,27,12,8,4,6,19,22,30,34,6,8,10,10,10,10,111,108,81.17,25.0,40.68,58.33,41.67,28.57,65.52,25.81,45.0,78.66,11.11,54.69,57.14,0.0,35.71,34.48,40.62,37.7,7.0,16.0,16.0,8.0,2.0,13.0,15.0,13.0,12.0,12.0,15.0,13.0,17.0,15.0,18.0,14.0,9.0,15.0,7.0,11.0,18.0,7.0,11.0,13.0,4.0,7.0,9.0,1.0,12.0,8.0,9.0,2.0,6.0,15.0,4.0,14.0,3.0,17.0,5.0,5.0,1.0,16.0,18.0,18.0,3.0,11.0,3.0,20.0,9.0,4.0,1.0,13.0,4.0,14.0,1.0,12.0,1.0,3.0,1.0,13.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,9.0,3.0,9.0,7.0,7.0,17.0,3.0,16.0,14.0,6.0,17.0,13.0,14.0,15.0,7.0,10.0,18.0,16.0,14.0,8.0,5.0,15.0,10.0,12.0,4.0,7.0,6.0,6.0,7.0,8.0,11.0,10.0,7.0,16.0,3.0,1.0,12.0,2.0,17.0,4.0,15.0,14.0,1.0,1.0,13.0,9.0,18.0,4.0,11.0
Coventry,0-15,5,41.36,692,488,18,9,574,372,491,294,538,349,219,155,124,114,231,103,239,117,252,177,16,5,2,1,50,65,17,24,3,1,3,3,10,8,7,4,14,9,3,1,6,5,5,3,9,2,5,7,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,12,9,2,3,33,33,16,17,34,29,9,10,67,62,25,27,11,12,6,9,18,22,35,35,8,4,6,10,10,6,110,104,79.03,20.0,36.92,11.11,0.0,33.33,51.52,34.48,43.55,85.54,12.5,34.0,21.43,7.14,16.67,48.48,26.47,37.31,19.0,2.0,18.0,6.0,18.0,2.0,18.0,2.0,15.0,2.0,16.0,2.0,19.0,5.0,7.0,1.0,18.0,1.0,15.0,3.0,15.0,1.0,19.0,5.0,12.0,18.0,6.0,20.0,12.0,3.0,9.0,8.0,14.0,2.0,5.0,3.0,12.0,2.0,13.0,8.0,17.0,2.0,3.0,1.0,8.0,3.0,20.0,3.0,1.0,9.0,19.0,2.0,4.0,4.0,14.0,4.0,13.0,3.0,3.0,4.0,13.0,2.0,2.0,2.0,2.0,1.0,1.0,13.0,17.0,17.0,14.0,5.0,5.0,5.0,6.0,11.0,18.0,15.0,13.0,7.0,11.0,12.0,7.0,12.0,13.0,13.0,5.0,12.0,5.0,9.0,8.0,5.0,16.0,20.0,6.0,6.0,20.0,9.0,15.0,14.0,11.0,20.0,19.0,13.0,11.0,8.0,10.0,5.0,3.0,13.0,20.0,17.0,12.0,17.0,13.0,14.0,13.0
Crystal Palace,0-15,5,47.18,619,553,23,14,504,424,428,347,469,385,185,182,117,103,202,139,220,137,208,210,12,8,0,1,55,53,25,22,1,0,3,4,6,7,5,3,10,10,4,2,3,6,3,2,8,6,2,4,3,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,14,8,2,3,21,21,11,10,32,30,6,11,53,51,17,21,9,16,7,10,20,25,32,31,9,6,9,7,7,9,105,102,81.84,12.5,41.51,20.0,10.0,37.5,47.62,36.67,41.18,84.92,0.0,45.45,40.0,10.0,14.29,52.38,18.75,32.08,16.0,5.0,11.0,2.0,12.0,4.0,11.0,4.0,11.0,4.0,11.0,11.0,9.0,8.0,13.0,4.0,10.0,2.0,10.0,11.0,11.0,2.0,11.0,18.0,12.0,15.0,17.0,12.0,16.0,8.0,18.0,8.0,6.0,11.0,10.0,10.0,15.0,9.0,8.0,5.0,15.0,10.0,1.0,8.0,13.0,5.0,10.0,15.0,6.0,6.0,13.0,2.0,9.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,19.0,17.0,14.0,17.0,17.0,14.0,15.0,16.0,17.0,20.0,11.0,20.0,20.0,20.0,17.0,15.0,3.0,10.0,3.0,7.0,3.0,13.0,13.0,2.0,10.0,13.0,19.0,19.0,13.0,13.0,16.0,9.0,15.0,15.0,16.0,5.0,8.0,11.0,6.0,7.0,5.0,18.0,10.0,6.0,7.0,18.0,10.0,20.0,20.0
Everton,0-15,5,47.38,643,579,25,12,517,450,442,379,487,419,190,174,118,118,209,158,210,161,232,218,11,8,4,0,45,59,22,23,1,2,2,3,9,5,6,3,11,10,3,3,4,5,4,2,8,5,3,5,3,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,15,13,7,6,24,24,14,10,45,45,17,16,69,69,31,26,15,15,9,7,22,18,42,38,7,14,7,8,8,7,103,106,84.22,0.0,38.98,30.0,10.0,46.15,41.67,35.56,37.68,85.49,36.36,48.89,27.27,0.0,46.67,58.33,37.78,44.93,15.0,3.0,7.0,1.0,17.0,3.0,8.0,3.0,8.0,3.0,8.0,9.0,14.0,7.0,5.0,3.0,7.0,4.0,6.0,7.0,10.0,3.0,11.0,1.0,18.0,19.0,9.0,17.0,15.0,8.0,4.0,16.0,14.0,3.0,14.0,6.0,15.0,6.0,8.0,8.0,8.0,8.0,3.0,6.0,13.0,5.0,14.0,9.0,2.0,6.0,6.0,13.0,9.0,14.0,4.0,12.0,4.0,3.0,3.0,13.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,11.0,2.0,4.0,15.0,15.0,10.0,15.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,9.0,7.0,6.0,7.0,12.0,5.0,12.0,4.0,5.0,9.0,1.0,18.0,13.0,13.0,18.0,14.0,12.0,5.0,18.0,17.0,11.0,5.0,3.0,17.0,8.0,12.0,4.0,4.0,5.0,12.0,13.0,3.0,4.0,7.0,4.0
Fulham,0-15,5,49.11,600,579,14,18,483,471,402,379,442,429,195,174,143,115,145,182,168,122,234,257,7,8,2,0,65,56,31,24,1,0,5,5,8,4,6,4,11,6,3,1,3,3,5,2,8,5,3,1,2,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,14,12,5,3,25,25,17,8,33,35,10,14,58,60,27,22,8,16,15,5,19,20,34,30,6,3,9,5,5,9,112,115,80.47,0.0,42.86,16.67,16.67,25.0,32.0,40.0,36.67,83.23,28.57,47.69,27.27,9.09,35.71,68.0,30.3,46.55,10.0,6.0,7.0,14.0,8.0,6.0,7.0,5.0,8.0,6.0,7.0,6.0,14.0,1.0,6.0,10.0,4.0,5.0,13.0,6.0,2.0,13.0,11.0,5.0,18.0,6.0,15.0,4.0,12.0,8.0,18.0,4.0,3.0,6.0,18.0,6.0,12.0,6.0,18.0,8.0,17.0,10.0,12.0,1.0,13.0,5.0,14.0,9.0,19.0,9.0,16.0,2.0,9.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,12.0,3.0,14.0,12.0,12.0,3.0,18.0,15.0,12.0,14.0,4.0,18.0,14.0,7.0,15.0,18.0,3.0,1.0,16.0,8.0,8.0,11.0,15.0,12.0,19.0,13.0,20.0,20.0,13.0,7.0,7.0,11.0,18.0,12.0,17.0,4.0,14.0,20.0,2.0,14.0,7.0,6.0,7.0,12.0,8.0,9.0,1.0,11.0,3.0
