team,player,touches_for,touches_opp_box_for,passes_attempted_for,passes_completed_for,open_play_passes_for,passes_forward_for,passes_backward_for,passes_sideways_for,passes_opp_half_for,passes_own_half_for,crosses_attempted_for,crosses_completed_for,crosses_all_for,crosses_all_completed_for,long_passes_attempted_for,long_passes_completed_for,through_balls_for,passes_final_third_for,passes_final_third_completed_for,passes_from_final_third_for,passes_into_final_third_for,progressive_passes_for,passes_outside_own_third_for,corners_for,chances_created_for,assists_for,shots_for,shots_on_target_for,shots_off_target_for,shots_blocked_for,shots_in_box_for,shots_outside_box_for,shots_on_target_in_box_for,shots_on_target_outside_box_for,goals_for,goals_in_box_for,goals_outside_box_for,goals_from_shots_for,own_goals_for,own_goals_in_box_for,own_goals_outside_box_for,take_ons_for,take_ons_won_for,aerials_for,aerials_won_for,ground_duels_for,ground_duels_won_for,duels_contested_for,duels_won_for,smothers_for,tackles_for,interceptions_for,clearances_for,ball_recoveries_for,blocked_passes_for,pressing_actions_for,recovery_actions_for,pressing_actions_outside_own_third_for,missed_tackles_for,fouls_committed_for,fouls_won_for,possession_lost_for,sequences_for,sequence_passes_for,sequence_seconds_for,sequence_progress_m_for,sequence_length_m_for,sequence_start_x_m_for,build_up_attacks_for,direct_attacks_for,high_turnovers_for,high_turnover_shots_for,sequence_pressed_for,shot_ending_sequences_for,minutes,appearances,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,cross_accuracy_all_pct_for,final_third_pass_accuracy_pct_for,conversion_pct_for,shot_conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for
Arsenal,Ben White,240,13,162,134,157,76,39,47,79,55,11,2,11,2,12,5,0,73,57,50,20,26,112,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,9,6,17,11,26,17,0,6,3,10,9,1,13,19,10,1,2,3,37,71.0,293.0,779.0,683.4449999999999,4030.053806970313,3734.745,2.0,3.0,1.0,0.0,13.0,8.0,332.0,4,82.72,18.18,41.67,,18.18,78.08,0.0,0.0,50.0,66.67,64.71,65.38
Arsenal,Bruno Guimarães,93,5,67,58,66,23,23,21,29,29,1,0,1,0,2,1,1,15,10,10,5,6,57,0,0,0,2,1,1,0,1,1,0,1,1,0,1,1,0,0,0,4,1,2,1,14,8,16,9,0,1,2,0,8,1,5,8,1,1,0,6,17,18.0,67.0,202.0,72.135,945.4188521238142,840.84,0.0,0.0,1.0,0.0,4.0,1.0,141.0,3,86.57,0.0,50.0,50.0,0.0,66.67,50.0,50.0,25.0,50.0,57.14,56.25
Arsenal,Bukayo Saka,263,30,157,129,150,31,65,61,102,27,8,1,18,6,6,3,2,92,73,101,3,16,56,14,7,6,15,9,1,5,12,3,9,0,3,3,0,3,0,0,0,16,7,8,2,45,28,53,30,0,6,3,5,17,3,17,22,11,3,2,15,53,51.0,115.0,265.0,237.82500000000002,1643.4979173801287,3678.255,1.0,1.0,2.0,0.0,6.0,12.0,433.0,5,82.17,12.5,50.0,90.0,33.33,79.35,20.0,20.0,43.75,25.0,62.22,56.6
Arsenal,Christos Tzolis,206,16,134,113,133,26,53,55,89,24,13,4,13,4,4,4,0,68,57,71,3,10,63,0,8,6,4,1,1,2,3,1,0,1,0,0,0,0,0,0,0,9,1,10,5,29,13,39,18,0,4,2,5,12,2,13,17,9,3,2,8,42,33.0,132.0,368.0,246.96000000000004,1888.3102245620387,1775.655,1.0,1.0,1.0,1.0,7.0,5.0,366.0,5,84.33,30.77,100.0,50.0,30.77,83.82,0.0,0.0,11.11,50.0,44.83,46.15
Arsenal,Cristhian Mosquera,135,0,120,115,116,42,17,61,22,93,0,0,0,0,1,0,0,5,4,1,3,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,1,7,2,0,0,2,8,3,1,5,11,2,1,1,0,6,15.0,98.0,335.0,451.71000000000004,1534.7602012862626,542.01,1.0,0.0,0.0,0.0,1.0,2.0,172.0,2,95.83,,0.0,,,80.0,,,100.0,33.33,25.0,28.57
Arsenal,David Raya,225,0,164,111,127,138,0,26,2,109,0,0,0,0,87,37,0,33,11,0,11,3,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,6,1,1,0,4,8,0,1,12,0,0,0,2,53,92.0,383.0,1413.0,3126.9,6856.549180517183,1142.505,3.0,8.0,0.0,0.0,21.0,6.0,481.0,5,67.68,,42.53,,,33.33,,,,100.0,100.0,100.0
Arsenal,Declan Rice,407,0,348,317,333,183,45,120,155,162,4,0,15,3,32,19,1,110,96,53,50,77,295,10,7,3,4,0,3,1,0,4,0,0,0,0,0,0,0,0,0,3,2,9,4,17,9,26,13,0,7,5,10,17,2,20,27,11,2,4,0,34,68.0,259.0,752.0,878.64,3973.130596521114,3694.215,0.0,1.0,2.0,1.0,9.0,5.0,421.0,5,91.09,0.0,59.38,0.0,20.0,87.27,0.0,0.0,66.67,44.44,52.94,50.0
Arsenal,Eberechi Eze,56,4,38,30,37,7,16,15,23,7,1,0,1,0,1,1,0,15,11,15,2,3,23,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2,5,2,11,6,16,8,0,0,0,0,5,0,0,5,0,0,0,4,13,5.0,52.0,151.0,44.41499999999998,715.2269227494365,322.14000000000004,0.0,0.0,1.0,0.0,0.0,1.0,115.0,4,78.95,0.0,100.0,0.0,0.0,73.33,0.0,0.0,33.33,40.0,54.55,50.0
Arsenal,Ezri Konsa,183,4,148,143,142,58,26,64,32,111,0,0,0,0,2,2,0,9,7,3,6,7,145,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,16,10,27,18,0,5,4,13,9,0,13,22,8,0,4,5,9,31.0,193.0,637.0,399.315,2963.9677214350495,1230.18,2.0,0.0,0.0,0.0,6.0,2.0,309.0,4,96.62,,100.0,,,77.78,0.0,0.0,,72.73,62.5,66.67
Arsenal,Gabriel Magalhães,355,9,277,248,256,117,48,112,87,161,1,0,1,0,25,7,0,52,42,27,22,37,250,0,1,1,5,2,3,0,3,2,2,0,0,0,0,0,0,0,0,1,1,21,10,22,12,43,22,0,6,6,27,17,5,23,44,10,1,5,5,34,67.0,231.0,663.0,1134.525,3543.559263948293,2168.88,1.0,1.0,1.0,0.0,15.0,4.0,481.0,5,89.53,0.0,28.0,40.0,0.0,80.77,0.0,0.0,100.0,47.62,54.55,51.16
