team,split_value,matches_played,possession_pct,touches_against,touches_for,touches_opp_box_against,touches_opp_box_for,passes_attempted_against,passes_attempted_for,passes_completed_against,passes_completed_for,open_play_passes_against,open_play_passes_for,passes_forward_against,passes_forward_for,passes_backward_against,passes_backward_for,passes_sideways_against,passes_sideways_for,passes_opp_half_against,passes_opp_half_for,passes_own_half_against,passes_own_half_for,crosses_attempted_against,crosses_attempted_for,crosses_completed_against,crosses_completed_for,long_passes_attempted_against,long_passes_attempted_for,long_passes_completed_against,long_passes_completed_for,through_balls_against,through_balls_for,corners_against,corners_for,chances_created_against,chances_created_for,assists_against,assists_for,shots_against,shots_for,shots_on_target_against,shots_on_target_for,shots_off_target_against,shots_off_target_for,shots_blocked_against,shots_blocked_for,shots_in_box_against,shots_in_box_for,shots_outside_box_against,shots_outside_box_for,shots_on_target_in_box_against,shots_on_target_in_box_for,shots_on_target_outside_box_against,shots_on_target_outside_box_for,goals_against,goals_for,goals_in_box_against,goals_in_box_for,goals_outside_box_against,goals_outside_box_for,take_ons_against,take_ons_for,take_ons_won_against,take_ons_won_for,aerials_against,aerials_for,aerials_won_against,aerials_won_for,ground_duels_against,ground_duels_for,ground_duels_won_against,ground_duels_won_for,duels_contested_against,duels_contested_for,duels_won_against,duels_won_for,tackles_against,tackles_for,interceptions_against,interceptions_for,clearances_against,clearances_for,ball_recoveries_against,ball_recoveries_for,blocked_passes_against,blocked_passes_for,fouls_committed_against,fouls_committed_for,fouls_won_against,fouls_won_for,possession_lost_against,possession_lost_for,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for,pass_accuracy_pct_against,cross_accuracy_pct_against,long_pass_accuracy_pct_against,shooting_accuracy_pct_against,conversion_pct_against,take_on_success_pct_against,aerial_success_pct_against,ground_duel_success_pct_against,duel_success_pct_against,rank_possession_pct,rank_touches_against,rank_touches_for,rank_touches_opp_box_against,rank_touches_opp_box_for,rank_passes_attempted_against,rank_passes_attempted_for,rank_passes_completed_against,rank_passes_completed_for,rank_open_play_passes_against,rank_open_play_passes_for,rank_passes_forward_against,rank_passes_forward_for,rank_passes_backward_against,rank_passes_backward_for,rank_passes_sideways_against,rank_passes_sideways_for,rank_passes_opp_half_against,rank_passes_opp_half_for,rank_passes_own_half_against,rank_passes_own_half_for,rank_crosses_attempted_against,rank_crosses_attempted_for,rank_crosses_completed_against,rank_crosses_completed_for,rank_long_passes_attempted_against,rank_long_passes_attempted_for,rank_long_passes_completed_against,rank_long_passes_completed_for,rank_through_balls_against,rank_through_balls_for,rank_corners_against,rank_corners_for,rank_chances_created_against,rank_chances_created_for,rank_assists_against,rank_assists_for,rank_shots_against,rank_shots_for,rank_shots_on_target_against,rank_shots_on_target_for,rank_shots_off_target_against,rank_shots_off_target_for,rank_shots_blocked_against,rank_shots_blocked_for,rank_shots_in_box_against,rank_shots_in_box_for,rank_shots_outside_box_against,rank_shots_outside_box_for,rank_shots_on_target_in_box_against,rank_shots_on_target_in_box_for,rank_shots_on_target_outside_box_against,rank_shots_on_target_outside_box_for,rank_goals_against,rank_goals_for,rank_goals_in_box_against,rank_goals_in_box_for,rank_goals_outside_box_against,rank_goals_outside_box_for,rank_take_ons_against,rank_take_ons_for,rank_take_ons_won_against,rank_take_ons_won_for,rank_aerials_against,rank_aerials_for,rank_aerials_won_against,rank_aerials_won_for,rank_ground_duels_against,rank_ground_duels_for,rank_ground_duels_won_against,rank_ground_duels_won_for,rank_duels_contested_against,rank_duels_contested_for,rank_duels_won_against,rank_duels_won_for,rank_tackles_against,rank_tackles_for,rank_interceptions_against,rank_interceptions_for,rank_clearances_against,rank_clearances_for,rank_ball_recoveries_against,rank_ball_recoveries_for,rank_blocked_passes_against,rank_blocked_passes_for,rank_fouls_committed_against,rank_fouls_committed_for,rank_fouls_won_against,rank_fouls_won_for,rank_possession_lost_against,rank_possession_lost_for,rank_pass_accuracy_pct_for,rank_cross_accuracy_pct_for,rank_long_pass_accuracy_pct_for,rank_shooting_accuracy_pct_for,rank_conversion_pct_for,rank_take_on_success_pct_for,rank_aerial_success_pct_for,rank_ground_duel_success_pct_for,rank_duel_success_pct_for,rank_pass_accuracy_pct_against,rank_cross_accuracy_pct_against,rank_long_pass_accuracy_pct_against,rank_shooting_accuracy_pct_against,rank_conversion_pct_against,rank_take_on_success_pct_against,rank_aerial_success_pct_against,rank_ground_duel_success_pct_against,rank_duel_success_pct_against,clean_sheets,wins,draws,losses,points,rank_clean_sheets,rank_wins,rank_draws,rank_losses,rank_points
Arsenal,Season,5,57.67,2496,3400,101,156,1845,2699,1405,2300,1659,2473,839,1095,417,605,589,999,708,1200,697,1100,46,52,8,8,335,256,146,126,5,10,16,25,31,54,13,38,53,65,13,23,27,19,13,23,26,46,27,19,8,19,5,4,4,8,1,6,3,2,55,71,17,26,146,146,72,74,176,179,54,58,322,325,126,132,67,58,35,37,124,108,190,167,39,33,77,51,51,77,571,550,85.22,15.38,49.22,35.38,12.31,36.62,50.68,32.4,40.62,76.15,17.39,43.58,24.53,7.55,30.91,49.32,30.68,39.13,4.0,19.0,7.0,17.0,4.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,17.0,5.0,15.0,6.0,19.0,7.0,19.0,14.0,19.0,18.0,5.0,19.0,7.0,14.0,17.0,8.0,20.0,7.0,20.0,6.0,20.0,6.0,19.0,13.0,20.0,8.0,10.0,18.0,16.0,9.0,20.0,9.0,8.0,15.0,20.0,4.0,10.0,15.0,14.0,6.0,20.0,7.0,1.0,3.0,20.0,15.0,20.0,17.0,11.0,11.0,12.0,12.0,19.0,19.0,20.0,19.0,20.0,20.0,19.0,18.0,16.0,19.0,16.0,15.0,14.0,18.0,14.0,19.0,6.0,13.0,1.0,14.0,14.0,1.0,17.0,20.0,4.0,19.0,6.0,6.0,6.0,17.0,10.0,13.0,11.0,18.0,20.0,13.0,19.0,13.0,19.0,11.0,15.0,14.0,3,4,0,1,12,1.0,2.0,17.0,12.0,2.0
Aston Villa,Season,5,47.04,3297,2929,131,81,2541,2188,2145,1789,2347,1968,1072,929,548,533,921,726,1118,868,1027,921,78,36,19,5,259,259,134,111,8,9,24,15,56,34,36,19,81,49,26,13,44,25,11,11,50,30,31,19,19,10,7,3,8,4,7,3,1,1,87,103,37,40,107,107,64,43,281,280,93,80,388,387,157,123,108,81,53,37,96,113,200,161,35,42,53,57,57,53,553,586,81.76,13.89,42.86,26.53,8.16,38.83,40.19,28.57,31.78,84.42,24.36,51.74,32.1,9.88,42.53,59.81,33.1,40.46,13.0,7.0,16.0,7.0,20.0,7.0,15.0,6.0,12.0,7.0,15.0,11.0,18.0,9.0,11.0,5.0,12.0,5.0,9.0,10.0,14.0,4.0,20.0,2.0,20.0,20.0,18.0,14.0,18.0,10.0,11.0,7.0,19.0,5.0,18.0,6.0,20.0,6.0,20.0,3.0,20.0,1.0,8.0,20.0,17.0,7.0,20.0,5.0,15.0,4.0,18.0,6.0,17.0,6.0,16.0,5.0,17.0,6.0,7.0,10.0,4.0,10.0,3.0,20.0,20.0,18.0,20.0,2.0,2.0,5.0,11.0,11.0,11.0,12.0,20.0,1.0,8.0,5.0,15.0,19.0,16.0,9.0,20.0,10.0,4.0,11.0,11.0,11.0,11.0,18.0,18.0,8.0,20.0,12.0,17.0,13.0,11.0,20.0,20.0,20.0,4.0,4.0,2.0,5.0,9.0,7.0,1.0,11.0,10.0,1,1,1,3,4,10.0,13.0,9.0,3.0,14.0
Bournemouth,Season,5,47.84,3285,3013,122,108,2474,2233,1966,1724,2244,1998,1080,1088,533,557,861,588,898,804,1068,920,58,61,13,13,334,376,137,164,19,4,23,21,37,50,26,31,55,68,20,26,22,24,13,18,36,42,19,26,16,18,4,8,8,5,7,5,1,0,99,63,39,23,184,184,95,89,235,224,80,67,419,408,175,156,73,80,43,57,125,138,222,218,42,34,70,60,60,70,716,678,77.21,21.31,43.62,38.24,7.35,36.51,48.37,29.91,38.24,79.47,22.41,41.02,36.36,14.55,39.39,51.63,34.04,41.77,12.0,8.0,12.0,11.0,13.0,9.0,13.0,10.0,15.0,10.0,13.0,9.0,8.0,13.0,9.0,6.0,18.0,11.0,11.0,7.0,15.0,12.0,12.0,11.0,12.0,6.0,1.0,11.0,5.0,1.0,16.0,10.0,12.0,18.0,9.0,18.0,12.0,17.0,11.0,11.0,3.0,16.0,11.0,16.0,14.0,17.0,12.0,16.0,7.0,8.0,5.0,15.0,3.0,6.0,14.0,5.0,9.0,6.0,15.0,4.0,18.0,6.0,20.0,4.0,4.0,3.0,6.0,12.0,14.0,12.0,18.0,5.0,5.0,3.0,13.0,11.0,10.0,10.0,2.0,13.0,8.0,1.0,4.0,4.0,11.0,3.0,8.0,8.0,3.0,2.0,4.0,16.0,10.0,9.0,2.0,15.0,18.0,14.0,19.0,15.0,14.0,7.0,16.0,3.0,3.0,13.0,7.0,8.0,4.0,0,0,2,3,2,18.0,18.0,5.0,3.0,18.0
Brentford,Season,5,46.43,3402,2948,122,150,2535,2093,2006,1572,2312,1877,1108,1008,584,386,843,699,993,697,1013,875,74,73,13,22,358,336,156,146,5,9,25,22,40,50,24,39,67,81,21,23,24,31,22,27,38,59,29,22,11,20,10,3,4,10,4,9,0,1,104,98,41,35,209,209,102,107,269,267,97,83,478,476,199,190,93,82,54,51,162,155,213,220,33,41,45,72,72,45,712,728,75.11,30.14,43.45,28.4,12.35,35.71,51.2,31.09,39.92,79.13,17.57,43.58,31.34,5.97,39.42,48.8,36.06,41.63,14.0,6.0,14.0,11.0,6.0,8.0,16.0,9.0,17.0,8.0,16.0,7.0,11.0,8.0,19.0,8.0,14.0,8.0,17.0,13.0,17.0,6.0,6.0,11.0,2.0,2.0,7.0,4.0,8.0,17.0,11.0,6.0,9.0,15.0,9.0,19.0,4.0,12.0,4.0,9.0,8.0,13.0,4.0,8.0,5.0,14.0,3.0,6.0,11.0,15.0,3.0,1.0,17.0,14.0,3.0,12.0,3.0,17.0,7.0,3.0,7.0,3.0,11.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,9.0,1.0,1.0,1.0,2.0,4.0,7.0,3.0,3.0,4.0,5.0,5.0,3.0,14.0,5.0,18.0,2.0,2.0,18.0,3.0,1.0,17.0,1.0,10.0,14.0,5.0,19.0,8.0,16.0,14.0,15.0,19.0,13.0,7.0,17.0,12.0,13.0,6.0,6.0,2,2,3,0,9,7.0,5.0,1.0,16.0,5.0
Brighton,Season,5,60.56,2392,3673,118,150,1642,2954,1204,2500,1406,2751,771,1185,364,659,507,1110,523,1250,681,1250,29,87,6,14,321,323,128,168,2,10,23,27,39,56,32,35,60,95,19,29,25,47,16,19,49,63,11,32,15,24,4,5,5,14,4,10,1,4,76,69,31,29,181,181,94,87,209,205,69,70,390,386,163,157,67,67,36,34,151,117,119,191,35,37,53,65,65,53,597,598,84.63,16.09,52.01,30.53,14.74,42.03,48.07,34.15,40.67,73.33,20.69,39.88,31.67,8.33,40.79,51.93,33.01,41.79,2.0,20.0,4.0,13.0,6.0,20.0,3.0,20.0,4.0,20.0,3.0,20.0,5.0,20.0,4.0,20.0,3.0,20.0,4.0,20.0,3.0,20.0,2.0,20.0,8.0,10.0,10.0,17.0,4.0,20.0,8.0,10.0,6.0,17.0,4.0,10.0,8.0,13.0,2.0,13.0,1.0,12.0,1.0,14.0,13.0,9.0,1.0,20.0,3.0,11.0,1.0,15.0,10.0,12.0,1.0,12.0,2.0,6.0,1.0,16.0,16.0,17.0,16.0,5.0,5.0,4.0,7.0,18.0,18.0,15.0,17.0,10.0,12.0,5.0,11.0,16.0,16.0,14.0,17.0,5.0,15.0,20.0,12.0,10.0,8.0,11.0,4.0,4.0,11.0,14.0,16.0,5.0,17.0,4.0,11.0,3.0,5.0,15.0,7.0,10.0,20.0,10.0,18.0,6.0,12.0,9.0,6.0,12.0,3.0,3,3,1,1,10,1.0,3.0,9.0,12.0,3.0
Chelsea,Season,5,48.4,3284,3080,134,160,2562,2292,2095,1832,2355,2078,1111,975,598,480,853,837,1011,996,1084,836,63,66,18,13,344,309,169,122,9,3,26,33,48,51,40,33,72,73,32,26,20,23,20,24,51,47,21,26,25,18,7,8,11,10,9,8,2,2,69,83,27,39,143,143,68,75,223,227,69,86,366,370,137,161,70,78,37,49,120,132,176,180,37,34,59,43,43,59,635,632,79.93,19.7,39.48,35.62,13.7,46.99,52.45,37.89,43.51,81.77,28.57,49.13,44.44,15.28,39.13,47.55,30.94,37.43,10.0,9.0,8.0,6.0,2.0,6.0,8.0,7.0,9.0,6.0,8.0,6.0,14.0,6.0,14.0,7.0,8.0,7.0,8.0,6.0,18.0,10.0,7.0,4.0,12.0,4.0,13.0,2.0,15.0,8.0,17.0,3.0,3.0,10.0,8.0,2.0,11.0,9.0,7.0,1.0,3.0,19.0,14.0,11.0,7.0,5.0,8.0,14.0,7.0,1.0,5.0,6.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,19.0,12.0,18.0,4.0,12.0,12.0,14.0,9.0,15.0,13.0,15.0,5.0,17.0,15.0,18.0,7.0,14.0,11.0,13.0,5.0,15.0,9.0,18.0,16.0,8.0,11.0,10.0,19.0,19.0,10.0,9.0,8.0,12.0,12.0,17.0,5.0,4.0,3.0,5.0,2.0,1.0,8.0,1.0,4.0,1.0,2.0,14.0,16.0,14.0,18.0,0,2,1,2,7,18.0,5.0,9.0,9.0,10.0
Coventry,Season,5,40.83,3709,2559,143,84,3003,1880,2561,1408,2799,1695,1197,889,644,461,1162,530,1360,646,1201,762,76,55,14,14,261,365,115,149,15,2,23,20,61,35,36,23,87,51,19,16,34,23,34,12,52,33,35,18,11,14,8,2,10,1,7,1,3,0,71,67,34,25,193,193,88,105,176,167,66,51,369,360,154,156,56,45,23,49,149,158,194,180,33,28,52,60,60,52,572,608,74.89,25.45,40.82,31.37,1.96,37.31,54.4,30.54,43.33,85.28,18.42,44.06,21.84,11.49,47.89,45.6,37.5,41.73,19.0,3.0,19.0,3.0,18.0,2.0,19.0,2.0,19.0,2.0,19.0,4.0,19.0,5.0,16.0,2.0,19.0,2.0,18.0,5.0,19.0,5.0,13.0,9.0,8.0,19.0,3.0,18.0,7.0,2.0,19.0,10.0,13.0,2.0,17.0,6.0,16.0,2.0,19.0,13.0,18.0,2.0,14.0,2.0,16.0,4.0,17.0,2.0,18.0,15.0,11.0,3.0,20.0,3.0,20.0,5.0,20.0,1.0,15.0,18.0,17.0,15.0,18.0,3.0,3.0,5.0,2.0,19.0,20.0,18.0,20.0,14.0,17.0,15.0,13.0,19.0,20.0,20.0,5.0,6.0,4.0,12.0,16.0,14.0,17.0,13.0,8.0,8.0,13.0,16.0,13.0,18.0,4.0,15.0,9.0,20.0,16.0,4.0,18.0,2.0,1.0,17.0,10.0,20.0,7.0,3.0,17.0,4.0,5.0,1,1,0,4,3,10.0,13.0,17.0,1.0,17.0
Crystal Palace,Season,5,44.74,3780,3060,181,85,2970,2234,2507,1784,2744,2036,1223,1012,709,446,1038,776,1228,701,1279,1083,56,51,12,8,312,267,157,110,7,14,24,12,59,37,45,21,85,53,28,18,31,25,26,10,63,34,22,19,23,12,5,6,11,5,10,5,1,0,125,60,45,25,132,132,73,59,270,259,86,99,402,391,159,158,72,112,55,48,95,153,213,196,47,46,48,48,48,48,674,618,79.86,15.69,41.2,33.96,9.43,41.67,44.7,38.22,40.41,84.41,21.43,50.32,32.94,12.94,36.0,55.3,31.85,39.55,18.0,2.0,10.0,1.0,17.0,3.0,12.0,3.0,13.0,3.0,10.0,2.0,10.0,3.0,18.0,4.0,9.0,3.0,16.0,2.0,9.0,15.0,16.0,14.0,18.0,12.0,16.0,3.0,19.0,11.0,2.0,7.0,20.0,3.0,16.0,1.0,17.0,4.0,17.0,2.0,15.0,4.0,8.0,6.0,19.0,1.0,16.0,12.0,15.0,2.0,16.0,10.0,8.0,1.0,14.0,1.0,9.0,6.0,15.0,1.0,19.0,1.0,18.0,15.0,15.0,11.0,17.0,4.0,6.0,8.0,2.0,7.0,10.0,11.0,9.0,12.0,1.0,2.0,8.0,20.0,6.0,5.0,7.0,1.0,1.0,15.0,18.0,18.0,15.0,6.0,11.0,13.0,18.0,14.0,7.0,10.0,7.0,17.0,1.0,12.0,5.0,8.0,3.0,4.0,5.0,17.0,4.0,13.0,13.0,1,1,1,3,4,10.0,13.0,9.0,3.0,14.0
Everton,Season,5,45.45,3645,3037,125,131,2877,2250,2445,1806,2678,2029,1174,974,648,502,1055,774,1198,832,1247,974,57,62,16,10,274,314,114,110,11,5,22,25,50,57,30,37,69,80,18,22,23,29,28,29,44,54,25,26,11,17,7,5,3,6,2,5,1,1,83,81,33,31,154,154,81,73,241,243,81,90,395,397,162,163,75,90,48,49,137,119,215,231,37,45,63,40,40,63,614,614,80.27,16.13,35.03,27.5,7.5,38.27,47.4,37.04,41.06,84.98,28.07,41.61,26.09,4.35,39.76,52.6,33.61,41.01,17.0,4.0,11.0,10.0,9.0,4.0,11.0,4.0,11.0,4.0,12.0,5.0,15.0,4.0,13.0,3.0,10.0,4.0,10.0,4.0,12.0,14.0,11.0,5.0,15.0,18.0,12.0,19.0,19.0,5.0,15.0,15.0,7.0,9.0,3.0,11.0,7.0,10.0,5.0,15.0,10.0,15.0,6.0,5.0,3.0,11.0,5.0,10.0,7.0,15.0,7.0,6.0,10.0,19.0,10.0,19.0,9.0,6.0,7.0,12.0,13.0,16.0,14.0,9.0,9.0,8.0,13.0,11.0,10.0,11.0,3.0,9.0,7.0,6.0,5.0,9.0,4.0,6.0,5.0,7.0,14.0,4.0,1.0,8.0,2.0,8.0,20.0,20.0,8.0,11.0,12.0,10.0,16.0,20.0,16.0,14.0,13.0,16.0,3.0,9.0,3.0,2.0,15.0,18.0,19.0,11.0,5.0,10.0,8.0,3,2,3,0,9,1.0,5.0,1.0,16.0,5.0
Fulham,Season,5,53.0,3243,3657,137,159,2458,2928,2018,2452,2261,2700,1076,1207,592,741,790,980,989,1078,1029,1374,70,48,19,9,330,325,178,139,11,11,26,28,63,56,40,45,84,72,25,21,30,24,29,27,55,55,29,17,17,17,8,4,8,4,7,4,1,0,81,99,38,39,123,123,72,51,230,234,90,79,353,357,162,130,74,69,46,41,127,124,197,196,45,29,40,50,50,40,610,641,83.74,18.75,42.77,29.17,5.56,39.39,41.46,33.76,36.41,82.1,27.14,53.94,29.76,9.52,46.91,58.54,39.13,45.89,7.0,11.0,5.0,5.0,3.0,10.0,5.0,8.0,5.0,9.0,5.0,10.0,4.0,7.0,3.0,11.0,6.0,9.0,7.0,8.0,2.0,8.0,18.0,2.0,16.0,7.0,9.0,1.0,10.0,5.0,6.0,3.0,5.0,1.0,4.0,2.0,1.0,5.0,8.0,6.0,11.0,6.0,11.0,3.0,5.0,3.0,4.0,6.0,19.0,6.0,7.0,3.0,15.0,6.0,16.0,5.0,14.0,6.0,15.0,13.0,6.0,7.0,4.0,18.0,18.0,12.0,18.0,13.0,12.0,6.0,12.0,18.0,18.0,6.0,19.0,10.0,14.0,8.0,12.0,12.0,12.0,11.0,7.0,2.0,16.0,19.0,15.0,15.0,19.0,13.0,6.0,6.0,13.0,13.0,12.0,17.0,9.0,19.0,9.0,19.0,7.0,3.0,1.0,11.0,11.0,5.0,2.0,1.0,1.0,1,0,1,4,1,10.0,18.0,9.0,1.0,20.0
