team,split_type,match_id,side,split_value,touches,touches_opp_box,passes_attempted,passes_completed,open_play_passes,passes_forward,passes_backward,passes_sideways,passes_opp_half,passes_own_half,crosses_attempted,crosses_completed,crosses_all,crosses_all_completed,long_passes_attempted,long_passes_completed,through_balls,passes_final_third,passes_final_third_completed,passes_from_final_third,passes_into_final_third,progressive_passes,passes_outside_own_third,corners,chances_created,assists,shots,shots_on_target,shots_off_target,shots_blocked,shots_in_box,shots_outside_box,shots_on_target_in_box,shots_on_target_outside_box,goals,goals_in_box,goals_outside_box,goals_from_shots,own_goals,own_goals_in_box,own_goals_outside_box,take_ons,take_ons_won,aerials,aerials_won,ground_duels,ground_duels_won,duels_contested,duels_won,smothers,tackles,interceptions,clearances,ball_recoveries,blocked_passes,pressing_actions,recovery_actions,pressing_actions_outside_own_third,missed_tackles,fouls_committed,fouls_won,possession_lost,sequences,sequence_passes,sequence_seconds,sequence_progress_m,sequence_length_m,sequence_start_x_m,build_up_attacks,direct_attacks,high_turnovers,high_turnover_shots,sequence_pressed,shot_ending_sequences
Coventry,time_block,1983546,against,0-15,120,6,90,82,88,24,15,51,29,53,3,1,4,1,6,3,0,28,25,22,4,11,68,2,5,3,5,1,2,2,4,1,1,0,1,1,0,1,0,0,0,0,0,11,6,6,4,17,10,0,3,2,3,6,2,9,9,6,1,1,1,10,21.0,97.0,295.0,357.41999999999996,1484.7373097287286,1036.2450000000001,1.0,2.0,2.0,0.0,3.0,5.0
Coventry,time_block,1983546,against,16-30,129,6,101,89,96,38,13,50,36,53,0,0,0,0,6,5,1,36,26,28,6,12,73,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,3,1,6,0,12,7,18,7,0,1,0,5,8,2,6,13,6,0,3,5,19,24.0,144.0,417.0,435.01500000000004,2210.2330426353556,1136.94,1.0,1.0,0.0,0.0,3.0,2.0
Coventry,time_block,1983546,against,31-45,156,10,132,126,128,45,39,48,70,56,5,0,6,0,2,2,0,43,40,39,6,22,93,3,4,3,4,0,1,3,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5,3,5,3,0,1,1,3,5,0,4,8,3,0,2,1,7,21.0,103.0,324.0,304.08,1505.5637486439987,1257.375,0.0,1.0,2.0,1.0,2.0,3.0
Coventry,time_block,1983546,against,46-60,94,9,68,63,66,29,12,27,47,16,3,0,4,0,5,5,0,31,29,25,7,10,43,1,2,1,3,1,1,1,2,1,1,0,1,1,0,1,0,0,0,0,0,2,1,4,4,6,5,0,2,0,7,6,0,2,13,2,0,0,2,6,16.0,70.0,196.0,295.785,1038.362054012397,785.505,1.0,0.0,1.0,1.0,3.0,3.0
Coventry,time_block,1983546,against,61-75,123,3,98,91,95,32,23,43,52,39,2,0,3,0,4,2,1,30,25,26,8,9,72,2,2,1,3,1,0,2,1,2,0,1,0,0,0,0,0,0,0,2,1,3,1,8,2,11,3,0,0,2,7,2,0,6,9,4,2,2,1,9,15.0,106.0,291.0,222.07500000000002,1509.3683482250724,881.37,1.0,0.0,0.0,0.0,1.0,3.0
Coventry,time_block,1983546,against,76+,156,2,127,114,122,49,25,53,78,36,2,0,2,0,9,4,0,42,35,34,12,11,93,0,3,1,4,1,2,1,1,3,0,1,0,0,0,0,0,0,0,3,1,6,3,10,6,16,9,0,2,0,1,10,3,7,11,5,0,2,3,17,26.0,133.0,393.0,406.245,1874.10796374202,1068.06,0.0,1.0,0.0,0.0,6.0,4.0
Coventry,time_block,1983546,for,0-15,93,0,72,57,68,26,29,17,32,25,1,0,2,0,15,9,0,25,17,18,8,4,54,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,11,5,6,2,17,7,0,0,0,5,5,0,1,10,1,0,1,1,19,23.0,82.0,251.0,136.5,1412.5474941738407,1051.785,0.0,0.0,1.0,0.0,4.0,1.0
Coventry,time_block,1983546,for,16-30,56,0,44,23,40,19,10,15,16,7,0,0,0,0,10,4,0,21,8,12,5,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,11,4,17,10,1,0,2,2,4,0,8,6,6,1,5,3,22,21.0,39.0,68.0,268.485,466.5602972828342,825.615,0.0,0.0,0.0,0.0,2.0,0.0
Coventry,time_block,1983546,for,31-45,69,0,43,36,41,21,13,9,26,10,1,0,2,0,8,2,0,20,16,16,2,6,27,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,5,2,0,0,0,10,5,3,5,15,3,1,1,2,9,14.0,46.0,157.0,151.51500000000001,793.0143550553983,537.0749999999999,0.0,0.0,0.0,0.0,2.0,1.0
Coventry,time_block,1983546,for,46-60,78,2,59,53,57,26,16,17,28,25,1,0,2,0,11,7,0,19,14,13,6,9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,5,0,7,1,0,0,2,5,6,0,4,11,2,0,2,0,11,16.0,62.0,191.0,199.815,946.1631104628822,808.71,0.0,0.0,1.0,0.0,2.0,0.0
