name,apps,mins,goals,xg,Goals vs xG,shots,sot,conv %,xG per Shot
Erling Haaland,5,450,5,4.43,0.57,20,10,25.00%,0.22
Alexander Isak,5,415,4,3.54,0.46,15,7,26.67%,0.24
Thierno Barry,5,419,2,3.5,-1.5,17,5,11.76%,0.21
Bukayo Saka,5,418,3,3.21,-0.21,15,9,20.00%,0.21
Igor Thiago,5,443,1,3.13,-2.13,13,4,7.69%,0.24
Dominic Calvert-Lewin,5,421,3,3.12,-0.12,11,7,27.27%,0.28
Bryan Mbeumo,5,450,2,3.06,-1.06,19,6,10.53%,0.16
Brian Brobbey,5,401,3,2.94,0.06,11,5,27.27%,0.27
Bruno Fernandes,5,450,3,2.57,0.43,19,5,15.79%,0.14
Gonzalo García,5,427,1,2.34,-1.34,15,2,6.67%,0.16
Yoane Wissa,5,441,1,2.34,-1.34,9,3,11.11%,0.26
João Pedro,4,360,3,2.16,0.84,11,4,27.27%,0.2
Enzo Le Fée,5,439,1,2.05,-1.05,10,3,10.00%,0.21
Pascal Groß,5,450,3,1.78,1.22,10,3,30.00%,0.18
Morgan Rogers,5,439,3,1.71,1.29,15,5,20.00%,0.11
Marcus Tavernier,5,427,3,1.7,1.3,13,8,23.08%,0.13
Kai Havertz,5,438,2,1.67,0.33,10,6,20.00%,0.17
Emersonn,5,321,2,1.61,0.39,9,4,22.22%,0.18
Morgan Gibbs-White,5,450,1,1.59,-0.59,10,3,10.00%,0.16
Leif Davis,5,450,2,1.59,0.41,6,3,33.33%,0.26
Maxim De Cuyper,5,425,1,1.55,-0.55,7,1,14.29%,0.22
Josh King,5,427,2,1.54,0.46,14,7,14.29%,0.11
Kevin Schade,5,448,3,1.52,1.48,13,6,23.08%,0.12
Malick Yalcouyé,5,238,2,1.47,0.53,7,4,28.57%,0.21
Dominik Szoboszlai,5,441,1,1.42,-0.42,13,5,7.69%,0.11
Charalampos Kostoulas,5,356,2,1.35,0.65,13,5,15.38%,0.1
Cole Palmer,5,443,2,1.32,0.68,17,5,11.76%,0.08
Taiwo Awoniyi,4,234,0,1.3,-1.3,6,2,0.00%,0.22
Julio Enciso,5,415,0,1.27,-1.27,17,4,0.00%,0.07
Dan Ndoye,5,321,1,1.25,-0.25,11,2,9.09%,0.11
Igor Jesus,5,256,1,1.25,-0.25,9,4,11.11%,0.14
Oliver McBurnie,5,442,0,1.23,-1.23,10,3,0.00%,0.12
Keane Lewis-Potter,5,409,1,1.2,-0.2,9,2,11.11%,0.13
Jayden Bogle,5,369,1,1.19,-0.19,5,3,20.00%,0.24
Jaidon Anthony,5,270,1,1.15,-0.15,5,1,20.00%,0.23
Martin Ødegaard,5,382,2,1.07,0.93,7,2,28.57%,0.15
Brennan Johnson,5,241,0,1.04,-1.04,4,0,0.00%,0.26
Florian Wirtz,5,403,0,0.99,-0.99,12,3,0.00%,0.08
Kiernan Dewsbury-Hall,5,448,1,0.99,0.01,18,5,5.56%,0.05
César Palacios,4,229,1,0.98,0.02,8,2,12.50%,0.12
Justin Kluivert,4,298,1,0.98,0.02,10,6,10.00%,0.1
Anton Stach,5,448,1,0.97,0.03,7,2,14.29%,0.14
Anan Khalaili,5,380,1,0.96,0.04,7,1,14.29%,0.14
Marc Guéhi,5,450,1,0.95,0.05,3,1,33.33%,0.32
Emiliano Buendía,5,404,1,0.92,0.08,9,2,11.11%,0.1
Jack Rudoni,5,301,0,0.91,-0.91,6,3,0.00%,0.15
Evanilson,5,425,0,0.87,-0.87,8,2,0.00%,0.11
Rayan,5,438,0,0.86,-0.86,12,4,0.00%,0.07
António Silva,5,450,0,0.84,-0.84,4,1,0.00%,0.21
Joe Willock,5,287,2,0.82,1.18,10,3,20.00%,0.08
