name,played,goals,xg,goals vs xg,shots,sot,conv %,xg per shot
Brighton,5,16,11.49,4.51,95,29,16.84%,0.12
Man City,5,13,10.5,2.5,68,27,19.12%,0.15
Brentford,5,10,9.9,0.1,81,23,12.35%,0.12
Man Utd,5,8,9.89,-1.89,113,28,7.08%,0.09
Sunderland,5,6,9.77,-3.77,66,25,9.09%,0.15
Arsenal,5,8,8.48,-0.48,65,24,12.31%,0.13
Liverpool,5,7,8.34,-1.34,76,24,9.21%,0.11
Fulham,5,5,7.74,-2.74,72,22,6.94%,0.11
Leeds,5,7,7.72,-0.72,60,18,11.67%,0.13
Ipswich,5,7,7.72,-0.72,58,23,12.07%,0.13
Everton,5,6,7.32,-1.32,80,23,7.50%,0.09
Chelsea,5,10,7.29,2.71,72,26,13.89%,0.1
Forest,5,4,6.96,-2.96,82,17,4.88%,0.09
Bournemouth,5,6,6.72,-0.72,68,26,8.82%,0.1
Palace,5,6,6.27,-0.27,53,18,11.32%,0.12
Newcastle,5,9,5.29,3.71,51,18,17.65%,0.1
Hull,5,6,5.27,0.73,61,19,9.84%,0.09
Spurs,5,2,5.0,-3.0,71,19,2.82%,0.07
Coventry,5,1,4.88,-3.88,51,16,1.96%,0.1
Villa,5,4,4.56,-0.56,48,12,8.33%,0.1
